[1, 250, 1.469400405883789]
[501, 250, 0.999847412109375]
[1001, 250, 1.0805268287658691]
[1501, 250, 1.235114574432373]
[2001, 250, 1.4299204349517822]
[2501, 250, 1.4598195552825928]
[3001, 250, 1.579986572265625]
[3501, 250, 1.6500751972198486]
[4001, 250, 1.879845142364502]
[4501, 250, 1.9001131057739258]
[5001, 250, 1.9003005027770996]
[5501, 250, 1.9597887992858887]
