[1, 300, 0.7348191738128662]
[201, 300, 0.3796539306640625]
[401, 300, 0.30516529083251953]
[601, 300, 0.2748568058013916]
[801, 300, 0.2701401710510254]
[1001, 300, 0.27494168281555176]
[1201, 300, 0.2599208354949951]
[1401, 300, 0.25525379180908203]
[1601, 300, 0.2898566722869873]
[1801, 300, 0.25014185905456543]
[2001, 300, 0.2696645259857178]
[2201, 300, 0.2842521667480469]
[2401, 300, 0.26126646995544434]
[2601, 300, 0.2921161651611328]
[2801, 300, 0.29993343353271484]
[3001, 300, 0.26998329162597656]
[3201, 300, 0.2650144100189209]
[3401, 300, 0.2798774242401123]
[3601, 300, 0.30493593215942383]
[3801, 300, 0.2573509216308594]
[4001, 300, 0.2697281837463379]
[4201, 300, 0.2591991424560547]
[4401, 300, 0.26476621627807617]
[4601, 300, 0.2595493793487549]
[4801, 300, 0.2798471450805664]
